ISSN	TÌtulo	Estrato
2358-6362	MAIS 60: ESTUDOS SOBRE ENVELHECIMENTO	B3
2236-5435	MANUAL THERAPY, POSTUROLOGY & REHABILITATION JOURNAL	B2
1436-2228	MARINE BIOTECHNOLOGY (PRINT)	A2
1874-7787	MARINE GENOMICS (PRINT)	A3
2261-236X	MATEC WEB OF CONFERENCES	C
1517-7076	MAT…RIA (UFRJ)	B1
2574-9927	MATERIAL SCIENCE & ENGINEERING INTERNATIONAL JOURNAL	B4
0264-1275	MATERIALS & DESIGN	A1
0947-5117	MATERIALS AND CORROSION (1995)	A3
1996-1944	MATERIALS (BASEL)	A3
0254-0584	MATERIALS CHEMISTRY AND PHYSICS	A2
2194-1467	MATERIALS FOR RENEWABLE AND SUSTAINABLE ENERGY	A4
0167-577X	MATERIALS LETTERS (GENERAL ED.)	A1
2379-1365	MATERIALS PERFORMANCE AND CHARACTERIZATION	B2
1980-5373	MATERIALS RESEARCH	A2
0025-5408	MATERIALS RESEARCH BULLETIN	A1
2053-1591	MATERIALS RESEARCH EXPRESS	A4
1516-1439	MATERIALS RESEARCH (SÃO CARLOS. IMPRESSO)	A2
0921-5093	MATERIALS SCIENCE & ENGINEERING. A, STRUCTURAL MATERIALS: PROPERTIES, MICROSTRUCTURE AND PROCESSING	A1
0921-5107	MATERIALS SCIENCE & ENGINEERING. B, SOLID-STATE MATERIALS FOR ADVANCED TECHNOLOGY	A1
0928-4931	MATERIALS SCIENCE & ENGINEERING. C, BIOMIMETIC MATERIALS, SENSORS AND SYSTEMS (PRINT)	A1
1662-9752	MATERIALS SCIENCE FORUM (ONLINE)	B3
2468-5194	MATERIALS TODAY CHEMISTRY	A2
0025-5564	MATHEMATICAL BIOSCIENCES	A3
1026-7077	MATHEMATICAL PROBLEMS IN ENGINEERING (CD-ROM)	A2
1563-5147	MATHEMATICAL PROBLEMS IN ENGINEERING (ONLINE)	A2
1024-123X	MATHEMATICAL PROBLEMS IN ENGINEERING (PRINT)	A2
2227-7390	MATHEMATICS	B1
2575-6036	MATHEMATICS AND COMPUTER SCIENCE	C
0378-4754	MATHEMATICS AND COMPUTERS IN SIMULATION (PRINT)	A4
2041-3165	MATHEMATICS IN ENGINEERING, SCIENCE AND AEROSPACE: THE TRANSDISCIPLINARY INTERNATIONAL JOURNAL	B2
1134-5632	MATHWARE & SOFT COMPUTING	B4
0263-2241	MEASUREMENT (LONDON. PRINT)	A1
0957-0233	MEASUREMENT SCIENCE & TECHNOLOGY (PRINT)	A2
1361-6501	MEASUREMENT SCIENCE AND TECHNOLOGY	A2
0309-1740	MEAT SCIENCE	A1
0025-6455	MECCANICA (MILANO. PRINT)	A2
0888-3270	MECHANICAL SYSTEMS AND SIGNAL PROCESSING	A1
1539-7734	MECHANICS BASED DESIGN OF STRUCTURES AND MACHINES	A1
0093-6413	MECHANICS RESEARCH COMMUNICATIONS	A2
0094-114X	MECHANISM AND MACHINE THEORY	A1
0957-4158	MECHATRONICS (OXFORD)	A1
2040-2503	MEDCHEMCOMM	A3
0140-0118	MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING	A3
1741-0444	MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING (ONLINE)	A3
1350-4533	MEDICAL ENGINEERING & PHYSICS	A3
2358-0429	MEDICAL EXPRESS	C
0306-9877	MEDICAL HYPOTHESES	A4
1361-8415	MEDICAL IMAGE ANALYSIS (PRINT)	A1
0300-8584	MEDICAL MICROBIOLOGY AND IMMUNOLOGY	A3
0094-2405	MEDICAL PHYSICS (LANCASTER)	A1
2572-004X	MEDICAL TECHNOLOGIES JOURNAL	B3
1698-6946	MEDICINA ORAL, PATOLOGÍA ORAL Y CIRUGÍA BUCAL (INTERNET)	A3
2176-7262	MEDICINA (RIBEIRAO PRETO. ONLINE)	A3
1573-4064	MEDICINAL CHEMISTRY (HILVERSUM)	B1
0195-9131	MEDICINE AND SCIENCE IN SPORTS AND EXERCISE	A1
1536-5964	MEDICINE (BALTIMORE)	A3
0025-7974	MEDICINE (BALTIMORE, MD.)	A3
0074-0276	MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (IMPRESSO)	A4
1678-8060	MEMÓRIAS DO INSTITUTO OSWALDO CRUZ (ONLINE)	A4
2214-5400	META GENE	B3
2192-9262	METALLOGRAPHY, MICROSTRUCTURE, AND ANALYSIS (PRINT)	A4
2075-4701	METALS - OPEN ACCESS METALLURGY JOURNAL	A2
1046-2023	METHODS	A2
2050-6120	METHODS AND APPLICATIONS IN FLUORESCENCE	A2
0026-1270	METHODS OF INFORMATION IN MEDICINE	A3
2215-0161	METHODSX	B2
0095-3628	MICROBIAL ECOLOGY	A1
0944-5013	MICROBIOLOGICAL RESEARCH (PRINT)	A2
2576-098X	MICROBIOLOGY RESOURCE ANNOUNCEMENTS	B3
0026-265X	MICROCHEMICAL JOURNAL (PRINT)	A2
0167-9317	MICROELECTRONIC ENGINEERING	A3
0026-2714	MICROELECTRONICS AND RELIABILITY	A3
0959-8324	MICROELECTRONICS JOURNAL	A4
0026-2692	MICROELECTRONICS JOURNAL	A4
2072-666X	MICROMACHINES	A3
0968-4328	MICRON (OXFORD. 1993)	A3
1387-1811	MICROPOROUS AND MESOPOROUS MATERIALS (PRINT)	A1
0141-9331	MICROPROCESSORS AND MICROSYSTEMS	C
1059-910X	MICROSCOPY RESEARCH AND TECHNIQUE (PRINT)	A2
0946-7076	MICROSYSTEM TECHNOLOGIES	A4
1098-2760	MICROWAVE AND OPTICAL TECHNOLOGY LETTERS	A4
0895-2477	MICROWAVE AND OPTICAL TECHNOLOGY LETTERS (PRINT)	A4
0026-3672	MIKROCHIMICA ACTA (1966. PRINT)	A1
0882-7508	MINERAL PROCESSING AND EXTRACTIVE METALLURGY REVIEW	A1
0892-6875	MINERALS ENGINEERING	A1
2447-3073	MIX SUSTENTÁVEL (ONLINE)	A3
2240-4554	MLTJ MUSCLES, LIGAMENTS AND TENDONS JOURNAL	A3
1875-905X	MOBILE INFORMATION SYSTEMS	A3
1572-8153	MOBILE NETWORKS AND APPLICATIONS	A2
1259-5985	MODELLING, MEASUREMENT & CONTROL. A, GENERAL PHYSICS, ELECTRONICS, ELECTRICAL ENGINEERING	B3
2333-2581	MODERN ENVIRONMENTAL SCIENCE AND ENGINEERING	B3
0217-7323	MODERN PHYSICS LETTERS A	B1
2637-7764	MODERN RESEARCH IN DENTISTRY	B4
2576-4519	MOJ APPLIED BIONICS AND BIOMECHANICS	C
0300-8177	MOLECULAR AND CELLULAR BIOCHEMISTRY	A3
1177-1062	MOLECULAR DIAGNOSIS & THERAPY	A3
1536-1632	MOLECULAR IMAGING AND BIOLOGY	A2
0893-7648	MOLECULAR NEUROBIOLOGY	A1
1420-3049	MOLECULES (BASEL. ONLINE)	A2
1745-3925	MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY: LETTERS	A1
0035-8711	MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY (PRINT)	A1
1087-1640	MOTOR CONTROL	A4
2182-2972	MOTRICIDADE	B1
1646-107X	MOTRICIDADE (SANTA MARIA DA FEIRA)	B1
1980-6574	MOTRIZ : REVISTA DE EDUCAÇ«√O FÕSICA (ONLINE)	B1
0885-3185	MOVEMENT DISORDERS	A1
2330-1619	MOVEMENT DISORDERS CLINICAL PRACTICE	B2
1574-1702	MULTIAGENT AND GRID SYSTEMS	B1
0923-6082	MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING	A2
1573-0824	MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING (ONLINE)	A2
1432-1882	MULTIMEDIA SYSTEMS (ONLINE)	A2
1380-7501	MULTIMEDIA TOOLS AND APPLICATIONS	A2
1573-7721	MULTIMEDIA TOOLS AND APPLICATIONS (DORDRECHT. ONLINE)	A2
2447-8725	MULTIVERSO - REVISTA ELETR‘NICA DO CAMPUS JUIZ DE FORA	C
1807-8095	MUNDOPM (CURITIBA)	B4
0148-639X	MUSCLE & NERVE (PRINT)	A3
0730-7829	MUSIC PERCEPTION	A3
1676-3939	M⁄SICA HODIE	A4
1878-7789	NANO COMMUNICATION NETWORKS	A1
1530-6984	NANO LETTERS	A1
1998-0124	NANO RESEARCH (PRINT)	A1
2079-4991	NANOMATERIALS	A3
1743-5889	NANOMEDICINE	A1
1549-9634	NANOMEDICINE: NANOTECHNOLOGY, BIOLOGY AND MEDICINE	A1
2192-8606	NANOPHOTONICS	A1
2040-3364	NANOSCALE (PRINT)	A1
2040-3372	NANOSCALE (PRINT)	A1
1931-7573	NANOSCALE RESEARCH LETTERS (PRINT)	A2
0957-4484	NANOTECHNOLOGY (BRISTOL. PRINT)	A1
2191-9097	NANOTECHNOLOGY REVIEWS	A2
2318-7670	NATIVA	B4
1567-7818	NATURAL COMPUTING	A4
1572-9796	NATURAL COMPUTING (DORDRECHT. ONLINE)	A4
1478-6419	NATURAL PRODUCT RESEARCH (PRINT)	A3
2237-9290	NATURAL RESOURCES	B2
2041-1723	NATURE COMMUNICATIONS	A1
2397-3374	NATURE HUMAN BEHAVIOUR	A1
1748-3387	NATURE NANOTECHNOLOGY (PRINT)	A1
1097-6256	NATURE NEUROSCIENCE (PRINT)	A1
1749-4885	NATURE PHOTONICS (PRINT)	A1
1745-2473	NATURE PHYSICS (PRINT)	A1
0028-1522	NAVIGATION	A3
2237-4558	NAVUS REVISTA DE GEST√O E TECNOLOGIA	A4
0963-8695	NDT & E INTERNATIONAL	A1
0028-3045	NETWORKS	A3
0899-7667	NEURAL COMPUTATION	A1
1433-3058	NEURAL COMPUTING & APPLICATIONS (INTERNET)	A2
0941-0643	NEURAL COMPUTING & APPLICATIONS (PRINT)	A2
0893-6080	NEURAL NETWORKS	A1
1370-4621	NEURAL PROCESSING LETTERS	A3
1573-773X	NEURAL PROCESSING LETTERS (ONLINE)	A3
0197-4580	NEUROBIOLOGY OF AGING	A1
1074-7427	NEUROBIOLOGY OF LEARNING AND MEMORY (PRINT)	A2
0364-3190	NEUROCHEMICAL RESEARCH	A3
0197-0186	NEUROCHEMISTRY INTERNATIONAL	A3
0925-2312	NEUROCOMPUTING (AMSTERDAM)	A1
1660-2862	NEURODEGENERATIVE DISEASES	A2
2213-1582	NEUROIMAGE: CLINICAL	A2
1053-8119	NEUROIMAGE (ORLANDO, FLA. PRINT)	A1
1021-7401	NEUROIMMUNOMODULATION (BASEL)	B2
1590-1874	NEUROLOGICAL SCIENCES (TESTO STAMPATO)	A3
0960-8966	NEUROMUSCULAR DISORDERS	A2
0028-3908	NEUROPHARMACOLOGY	A1
2329-423X	NEUROPHOTONICS	A1
1178-2021	NEUROPSYCHIATRIC DISEASE AND TREATMENT (ONLINE)	A3
1758-2008	NEUROPSYCHIATRY	B4
0028-3932	NEUROPSYCHOLOGIA (OXFORD)	A2
1380-3395	NEUROPSYCHOLOGY, DEVELOPMENT, AND COGNITION. SECTION A, JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY	A4
0893-133X	NEUROPSYCHOPHARMACOLOGY (NEW YORK, N.Y.)	A1
1545-9683	NEUROREHABILITATION AND NEURAL REPAIR	A1
0959-4965	NEUROREPORT (OXFORD)	B3
0306-4522	NEUROSCIENCE	A3
2158-2912	NEUROSCIENCE & MEDICINE	C
0304-3940	NEUROSCIENCE LETTERS (PRINT)	B1
0733-2467	NEUROUROLOGY AND URODYNAMICS (PRINT)	A2
1144-0546	NEW JOURNAL OF CHEMISTRY (1987)	A2
2317-3351	NICS REPORTS	A4
1089-8603	NITRIC OXIDE (PRINT)	A2
2084-879X	NOISE MAPPING	A3
1751-570X	NONLINEAR ANALYSIS. HYBRID SYSTEMS	A1
0924-090X	NONLINEAR DYNAMICS	A1
1573-269X	NONLINEAR DYNAMICS (DORDRECHT. ONLINE)	A1
2637-773X	NOVEL APPROACHES IN CANCER STUDY	B3
0029-5493	NUCLEAR ENGINEERING AND DESIGN (PRINT)	A2
0168-583X	NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH. SECTION B, BEAM INTERACTIONS WITH MATERIALS AND ATOMS (PRINT)	A4
0143-3636	NUCLEAR MEDICINE COMMUNICATIONS	B1
0550-3213	NUCLEAR PHYSICS. B (PRINT)	A3
0029-5922	NUKLEONIKA (DRUK)	B1
2572-8474	NURSING & CARE OPEN ACCESS JOURNAL	B2
2072-6643	NUTRIENTS (BASEL)	A1
2316-7874	NUTRIRE - REVISTA DA SOCIEDADE BRASILEIRA DE ALIMENTAÇÃO E NUTRIÇÃO	B3
0899-9007	NUTRITION	A1
0104-7809	O MUNDO DA SA⁄DE (CUSC. IMPRESSO)	B4
1980-3990	O MUNDO DA SA⁄DE (ONLINE)	B4
1930-7381	OBESITY (SILVER SPRING, MD.)	A1
0960-8923	OBESITY SURGERY	A1
1616-7341	OCEAN DYNAMICS (PRINT)	A2
0029-8018	OCEAN ENGINEERING	A1
0305-0483	OMEGA (OXFORD)	A1
1949-2553	ONCOTARGET	A1
2578-0247	OPEN ACCESS BIOSTATISTICS & BIOINFORMATICS	C
1874-6136	OPEN AIDS JOURNAL	A3
2165-3925	OPEN JOURNAL OF APPLIED SCIENCES	B3
2364-7108	OPEN JOURNAL OF INTERNET OF THINGS (OJIOT)	B2
2214-7160	OPERATIONS RESEARCH PERSPECTIVES	A1
2334-2536	OPTICA	A1
0306-8919	OPTICAL AND QUANTUM ELECTRONICS	A4
0091-3286	OPTICAL ENGINEERING (BELLINGHAM. PRINT)	A3
1068-5200	OPTICAL FIBER TECHNOLOGY (PRINT)	A3
0925-3467	OPTICAL MATERIALS (AMSTERDAM. PRINT)	A3
2159-3930	OPTICAL MATERIALS EXPRESS	A2
1573-4277	OPTICAL SWITCHING AND NETWORKING (PRINT)	A3
0030-3992	OPTICS & LASER TECHNOLOGY	A2
0143-8166	OPTICS AND LASERS IN ENGINEERING	A1
2160-8881	OPTICS AND PHOTONICS JOURNAL	C
0030-400X	OPTICS AND SPECTROSCOPY (PRINT)	B2
0030-4018	OPTICS COMMUNICATIONS (PRINT)	A3
1094-4087	OPTICS EXPRESS	A2
0146-9592	OPTICS LETTERS	A1
0030-4026	OPTIK (STUTTGART)	A4
0143-2087	OPTIMAL CONTROL APPLICATIONS & METHODS	A3
1099-1514	OPTIMAL CONTROL APPLICATIONS AND METHODS	A3
1389-4420	OPTIMIZATION AND ENGINEERING (PRINT)	A2
1862-4472	OPTIMIZATION LETTERS (PRINT)	A3
1029-4945	OPTIMIZATION (ONLINE)	A2
1354-523X	ORAL DISEASES	A1
2212-4403	ORAL SURGERY, ORAL MEDICINE, ORAL PATHOLOGY AND ORAL RADIOLOGY	A2
1752-2471	ORAL SURGERY (PRINT)	B2
2474-7610	ORGANIC AND MEDICINAL CHEMISTRY INTERNATIONAL JOURNAL	C
2052-4129	ORGANIC CHEMISTRY FRONTIERS	A1
1566-1199	ORGANIC ELECTRONICS (PRINT)	A1
2238-6890	ORGANIZA«’ES RURAIS & AGROINDUSTRIAIS	B1
2578-7519	OSA CONTINUUM	B2
1942-0900	OXIDATIVE MEDICINE AND CELLULAR LONGEVITY	A2
0191-9512	OZONE: SCIENCE & ENGINEERING	A4
1526-2375	PAIN MEDICINE (MALDEN, MASS.)	A2
0031-0182	PALAEOGEOGRAPHY, PALAEOCLIMATOLOGY, PALAEOECOLOGY	A1
2184-268X	PALAVRAS	B3
2358-4696	PAN AMERICAN JOURNAL OF MEDICAL THERMOLOGY	B3
1516-9111	PAPERS DO NAEA (UFPA)	B3
0167-8191	PARALLEL COMPUTING	A4
1756-3305	PARASITES & VECTORS	A2
1980-6809	PARC : PESQUISA EM ARQUITETURA E CONSTRUÇÃO	A2
0272-6351	PARTICULATE SCIENCE AND TECHNOLOGY	A3
1433-755X	PATTERN ANALYSIS AND APPLICATIONS	A4
1433-7541	PATTERN ANALYSIS AND APPLICATIONS (PRINT)	A4
0031-3203	PATTERN RECOGNITION	A1
0167-8655	PATTERN RECOGNITION LETTERS	A2
1463-9076	PCCP. PHYSICAL CHEMISTRY CHEMICAL PHYSICS (PRINT)	A1
0736-8046	PEDIATRIC DERMATOLOGY	B2
0031-3998	PEDIATRIC RESEARCH	A1
2167-8359	PEERJ	A2
2376-5992	PEERJ COMPUTER SCIENCE	A1
1936-6442	PEER-TO-PEER NETWORKING AND APPLICATIONS (PRINT)	A2
1980-6183	PENSAR A PRÁTICA (ONLINE)	B2
0031-5125	PERCEPTUAL AND MOTOR SKILLS	B1
0163-5999	PERFORMANCE EVALUATION REVIEW	B2
1617-4909	PERSONAL AND UBIQUITOUS COMPUTING (PRINT)	A2
2530-0644	PERSPECTIVES IN ECOLOGY AND CONSERVATION	A1
2358-646X	PESQUISA & EDUCAÇ«√O A DISTÂNCIA	B2
1678-3921	PESQUISA AGROPECUÁRIA BRASILEIRA (ONLINE)	A4
0100-204X	PESQUISA AGROPECUÁRIA BRASILEIRA (1977. IMPRESSA)	A4
1519-0501	PESQUISA BRASILEIRA EM ODONTOPEDIATRIA E CLÕNICA INTEGRADA (IMPRESSO)	A4
0101-7438	PESQUISA OPERACIONAL (IMPRESSO)	B2
1678-5142	PESQUISA OPERACIONAL (ONLINE)	B2
1984-3534	PESQUISA OPERACIONAL PARA O DESENVOLVIMENTO	B3
0100-736X	PESQUISA VETERINÁRIA BRASILEIRA	A4
1678-5150	PESQUISA VETERINÁRIA BRASILEIRA (ONLINE)	A4
2675-1461	PESQUISABC	C
0048-3575	PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY	A1
0101-5397	PETRO & QUÕMICA	B4
1980-6310	PETRÓLEO, ROYALTIES E REGIÃO	B3
2405-6561	PETROLEUM	A3
1734-1140	PHARMACOLOGICAL REPORTS	A3
2213-4344	PHARMANUTRITION	A2
0141-1594	PHASE TRANSITIONS (PRINT)	B1
2352-8230	PHILOSOPHIA REFORMATA	A4
1364-503X	PHILOSOPHICAL TRANSACTIONS - ROYAL SOCIETY. MATHEMATICAL, PHYSICAL AND ENGINEERING SCIENCES (PRINT)	A1
2578-5478	PHOTOBIOMODULATION, PHOTOMEDICINE, AND LASER SURGERY	B2
1474-905X	PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES (PRINT)	A4
0031-8655	PHOTOCHEMISTRY AND PHOTOBIOLOGY	A2
1572-1000	PHOTODIAGNOSIS AND PHOTODYNAMIC THERAPY (PRINT)	A2
1549-5418	PHOTOMEDICINE AND LASER SURGERY	A2
1557-8550	PHOTOMEDICINE AND LASER SURGERY (ONLINE)	A2
1387-974X	PHOTONIC NETWORK COMMUNICATIONS	A4
1569-4410	PHOTONICS AND NANOSTRUCTURES (PRINT)	A3
2327-9125	PHOTONICS RESEARCH	A1
0378-4371	PHYSICA. A (PRINT)	A1
0921-4526	PHYSICA. B, CONDENSED MATTER (PRINT)	A4
0921-4534	PHYSICA. C, SUPERCONDUCTIVITY (PRINT)	B1
0167-2789	PHYSICA. D, NONLINEAR PHENOMENA (PRINT)	A3
1386-9477	PHYSICA. E, LOW-DIMENSIONAL SYSTEMS AND NANOSTRUCTURES (PRINT)	A3
1120-1797	PHYSICA MEDICA (TESTO STAMPATO)	A2
1862-6300	PHYSICA STATUS SOLIDI. A, APPLICATIONS AND MATERIALS SCIENCE (PRINT)	A3
0370-1972	PHYSICA STATUS SOLIDI. B, BASIC RESEARCH	A4
1862-6254	PHYSICA STATUS SOLIDI. RAPID RESEARCH LETTERS (PRINT)	A2
1463-9084	PHYSICAL CHEMISTRY CHEMICAL PHYSICS	A1
1874-4907	PHYSICAL COMMUNICATION (PRINT)	A4
2471-0377	PHYSICAL MEDICINE AND REHABILITATION - INTERNATIONAL	C
2469-9926	PHYSICAL REVIEW A	A1
2331-7019	PHYSICAL REVIEW APPLIED	A1
1098-0121	PHYSICAL REVIEW B	A1
2469-9950	PHYSICAL REVIEW B: COVERING CONDENSED MATTER AND MATERIALS PHYSICS	A1
2469-9985	PHYSICAL REVIEW C	A1
2470-0010	PHYSICAL REVIEW D: COVERING PARTICLES, FIELDS, GRAVITATION, AND COSMOLOGY	A1
1089-4918	PHYSICAL REVIEW D (PARTICLES, FIELDS, GRAVITATION AND COSMOLOGY)	A1
2470-0045	PHYSICAL REVIEW E: COVERING STATISTICAL, NONLINEAR, BIOLOGICAL, AND SOFT MATTER PHYSICS	A1
1095-3787	PHYSICAL REVIEW. E, STATISTICAL PHYSICS, PLASMAS, FLUIDS, AND RELATED INTERDISCIPLINARY TOPICS (ONLINE)	A1
1079-7114	PHYSICAL REVIEW LETTERS	A1
0031-9007	PHYSICAL REVIEW LETTERS (PRINT)	A1
2475-9953	PHYSICAL REVIEW MATERIALS	A3
2643-1564	PHYSICAL REVIEW RESEARCH	C
1466-853X	PHYSICAL THERAPY IN SPORT	A3
0031-9120	PHYSICS EDUCATION (BRISTOL. PRINT)	A2
1361-6552	PHYSICS EDUCATION (ONLINE)	A2
0031-9155	PHYSICS IN MEDICINE AND BIOLOGY (PRINT)	A2
0375-9601	PHYSICS LETTERS. A (PRINT)	A3
0370-2693	PHYSICS LETTERS. B (PRINT)	A2
1070-6631	PHYSICS OF FLUIDS (1994)	A1
0031-9201	PHYSICS OF THE EARTH AND PLANETARY INTERIORS	A2
1361-6579	PHYSIOLOGICAL MEASUREMENT	A3
0967-3334	PHYSIOLOGICAL MEASUREMENT (PRINT)	A3
0031-9333	PHYSIOLOGICAL REVIEWS	A1
0031-9384	PHYSIOLOGY & BEHAVIOR	A2
0031-9406	PHYSIOTHERAPY	A1
1471-2865	PHYSIOTHERAPY RESEARCH INTERNATIONAL	A4
1358-2267	PHYSIOTHERAPY RESEARCH INTERNATIONAL	A4
0959-3985	PHYSIOTHERAPY THEORY AND PRACTICE	A4
0944-7113	PHYTOMEDICINE (STUTTGART)	A1
1947-5764	PLASMA MEDICINE	B1
2516-1067	PLASMA RESEARCH EXPRESS	C
0963-0252	PLASMA SOURCES SCIENCE & TECHNOLOGY (PRINT)	A2
1557-1955	PLASMONICS (NORWELL, MASS.)	A3
1553-7358	PLOS COMPUTATIONAL BIOLOGY (ONLINE)	A1
1935-2735	PLOS NEGLECTED TROPICAL DISEASES (ONLINE)	A1
1932-6203	PLOS ONE	A1
1934-1482	PM & R (PHILADELPHIA, 2009): THE JOURNAL OF INJURY, FUNCTION AND REHABILITATION	A3
1678-5169	POLÍMEROS - CI NCIA E TECNOLOGIA (ONLINE)	A3
1436-2449	POLYMER BULLETIN (BERLIN. INTERNET)	A3
0272-8397	POLYMER COMPOSITES	A2
0959-8103	POLYMER INTERNATIONAL	A2
0142-9418	POLYMER TESTING	A1
2073-4360	POLYMERS	A2
2520-8063	POLYTECHNICA	C
2451-3121	POPULATION HORIZONS	B4
2317-2762	PÓS. REVISTA DO PROGRAMA DE PÓS-GRADUAÇÃO EM ARQUITETURA E URBANISMO DA FAUUSP	A2
2594-7044	POSTAL BRASIL	C
0141-6359	PRECISION ENGINEERING	A1
2167-1079	PRIMARY HEALTH CARE: OPEN ACCESS	C
1517-0306	PRINCIPIA (JOÃO PESSOA)	B3
0277-786X	PROCEEDINGS OF SPIE, THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING	B2
0018-9219	PROCEEDINGS OF THE IEEE	A1
0954-4054	PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS. PART B, JOURNAL OF ENGINEERING MANUFACTURE	A2
0954-4062	PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS. PART C, JOURNAL OF MECHANICAL ENGINEERING SCIENCE	A4
0959-6518	PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS. PART I, JOURNAL OF SYSTEMS AND CONTROL ENGINEERING	A4
1748-006X	PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS. PART O, JOURNAL OF RISK AND RELIABILITY (PRINT)	A4
0027-8424	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	A1
0032-9592	PROCESS BIOCHEMISTRY	A3
1359-5113	PROCESS BIOCHEMISTRY (1991)	A3
0957-5820	PROCESS SAFETY AND ENVIRONMENTAL PROTECTION	A1
2227-9717	PROCESSES	A4
1820-6131	PROCESSING AND APPLICATION OF CERAMICS	B1
0103-6513	PRODU«√O (SÃO PAULO. IMPRESSO)	B1
2197-4284	PROGRESS IN EARTH AND PLANETARY SCIENCE (ONLINE)	A2
1937-6472	PROGRESS IN ELECTROMAGNETICS RESEARCH B	B1
1937-8718	PROGRESS IN ELECTROMAGNETICS RESEARCH C	B1
1937-6480	PROGRESS IN ELECTROMAGNETICS RESEARCH LETTERS	B2
1937-8726	PROGRESS IN ELECTROMAGNETICS RESEARCH M	B2
1559-9450	PROGRESS IN ELECTROMAGNETICS RESEARCH SYMPOSIUM	A3
0360-1285	PROGRESS IN ENERGY AND COMBUSTION SCIENCE	A1
0278-5846	PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY	A2
0149-1970	PROGRESS IN NUCLEAR ENERGY (NEW SERIES)	A2
1062-7995	PROGRESS IN PHOTOVOLTAICS (PRINT)	A1
0033-2097	PRZEGLAD ELEKTROTECHNICZNY	B1
1980-8623	PSICO (PUCRS. ONLINE)	A2
0925-4927	PSYCHIATRY RESEARCH. NEUROIMAGING (PRINT)	A4
0165-1781	PSYCHIATRY RESEARCH (PRINT)	A4
1346-3500	PSYCHOGERIATRICS (TOKYO)	B1
1983-3288	PSYCHOLOGY & NEUROSCIENCE (ONLINE)	A1
1179-1578	PSYCHOLOGY RESEARCH AND BEHAVIOR MANAGEMENT	A3
1432-2072	PSYCHOPHARMACOLOGY (BERLIN. INTERNET)	A2
0048-5772	PSYCHOPHYSIOLOGY (NEW YORK. PRINT)	A1
1809-0273	PUBLICATIO UEPG. CI NCIAS BIOLÓGICAS E DA SA⁄DE (ONLINE)	B4
2090-1836	PULMONARY MEDICINE	A4
2090-1844	PULMONARY MEDICINE	A4
1094-5539	PULMONARY PHARMACOLOGY & THERAPEUTICS	A3
1533-7146	QUANTUM INFORMATION & COMPUTATION	A4
1573-1332	QUANTUM INFORMATION PROCESSING (DORDRECHT. ONLINE)	A3
1570-0755	QUANTUM INFORMATION PROCESSING (PRINT)	A3
0277-3791	QUATERNARY SCIENCE REVIEWS	A1
0100-4042	QUÕMICA NOVA (IMPRESSO)	A4
0102-8235	QUÕMICA T XTIL	B4
1350-4487	RADIATION MEASUREMENTS	A2
0969-806X	RADIATION PHYSICS AND CHEMISTRY (1993)	A1
1742-3406	RADIATION PROTECTION DOSIMETRY	B2
0144-8420	RADIATION PROTECTION DOSIMETRY	B2
0048-6604	RADIO SCIENCE	A2
1210-2512	RADIOENGINEERING	A4
1865-0333	RADIOLOGICAL PHYSICS AND TECHNOLOGY	A4
2177-2738	RA'E GA: O ESPA«O GEOGRÁFICO EM ANÁLISE	A1
2178-938X	RAE (ON-LINE)	A2
2515-8961	RAI REVISTA DE ADMINISTRAÇÃO E INOVAÇÃO	A3
1355-2546	RAPID PROTOTYPING JOURNAL	A2
1678-7099	RB. RADIOLOGIA BRASILEIRA	A4
2236-1103	R-BITS - REVISTA BRASILEIRA DE INOVAÇÃO TECNOLOGICA EM SA⁄DE	C
2447-7028	RCT: REVISTA DE CI NCIA E TECNOLOGIA	C
1381-5148	REACTIVE & FUNCTIONAL POLYMERS (PRINT)	A2
1413-2311	READ. REVISTA ELETR‘NICA DE ADMINISTRAÇÃO	A3
0922-6443	REAL-TIME SYSTEMS	A1
1415-3262	RECITEC. REVISTA DE CI NCIA E TECNOLOGIA	B3
2359-182X	REFAS - REVISTA FATEC ZONA SUL	B2
2177-8736	REGE REVISTA DE GESTAO	A2
1436-3798	REGIONAL ENVIRONMENTAL CHANGE (PRINT)	A2
