Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
21752;29064;"Engineering Economist";journal;"0013791X, 15472701";"Taylor and Francis Ltd.";No;No;0,203;Q3;37;11;52;703;44;41;0,97;63,91;44,00;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1955-2026";"Engineering (miscellaneous) (Q3); Economics and Econometrics (Q4); Education (Q4)";"Economics, Econometrics and Finance; Engineering; Social Sciences"
21753;31769;"Fenmo Yejin Jishu/Powder Metallurgy Technology";journal;"10013784";"University of Science and Technology Beijing";Yes;No;0,203;Q3;15;74;231;2073;187;231;0,70;28,01;32,39;0;China;Asiatic Region;"University of Science and Technology Beijing";"1986-1989, 1993-2025";"Metals and Alloys (Q3); Mechanics of Materials (Q4)";"Engineering; Materials Science"
21754;21100865569;"Granja";journal;"13908596, 13903799";"Universidad Politecnica Salesiana";Yes;Yes;0,203;Q3;11;22;65;845;53;61;0,80;38,41;34,78;0;Ecuador;Latin America;"Universidad Politecnica Salesiana";"2018-2025";"Agricultural and Biological Sciences (miscellaneous) (Q3); Earth and Planetary Sciences (miscellaneous) (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Environmental Science (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Earth and Planetary Sciences; Environmental Science"
21755;7700153112;"Index de Enfermeria";journal;"11321296";"Fundacion Index";Yes;No;0,203;Q3;15;82;230;2105;116;199;0,50;25,67;68,51;0;Spain;Western Europe;"Fundacion Index";"2006-2025";"History and Philosophy of Science (Q3); Health (social science) (Q4); Public Health, Environmental and Occupational Health (Q4)";"Arts and Humanities; Medicine; Social Sciences"
21756;21100889438;"International Journal of Pluralism and Economics Education";journal;"17575656, 17575648";"Inderscience Enterprises Ltd";No;No;0,203;Q3;7;10;48;544;33;47;0,83;54,40;54,55;0;Switzerland;Western Europe;"Inderscience Enterprises Ltd";"2017-2025";"Economics, Econometrics and Finance (miscellaneous) (Q3); Sociology and Political Science (Q3); Education (Q4)";"Economics, Econometrics and Finance; Social Sciences"
21757;11200153303;"Israel Journal of Veterinary Medicine";journal;"23048859, 03349152";"Israel Veterinary Medical Association";No;No;0,203;Q3;17;16;68;378;32;55;0,52;23,63;46,43;0;Israel;Middle East;"Israel Veterinary Medical Association";"2007-2025";"Veterinary (miscellaneous) (Q3); Animal Science and Zoology (Q4)";"Agricultural and Biological Sciences; Veterinary"
21758;21100466857;"JBJS Case Connector";journal;"21603251";"Lippincott Williams and Wilkins";No;No;0,203;Q3;16;332;819;4437;314;818;0,37;13,36;20,09;0;United States;Northern America;"Lippincott Williams and Wilkins";"2013-2026";"Surgery (Q3); Medicine (miscellaneous) (Q4); Orthopedics and Sports Medicine (Q4)";"Medicine"
21759;21100945159;"Journal of Law, Finance, and Accounting";journal;"23805013, 23805005";"Now Publishers Inc";No;No;0,203;Q3;11;0;13;0;8;13;0,56;0,00;0,00;0;United States;Northern America;"Now Publishers Inc";"2016-2024";"Law (Q3); Accounting (Q4); Finance (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
21760;21101230392;"Juridical Tribune - Review of Comparative and International Law";journal;"3008637X";"Society of Juridical and Administrative Sciences";Yes;Yes;0,203;Q3;4;37;42;1610;33;42;0,79;43,51;54,24;0;Romania;Eastern Europe;"Society of Juridical and Administrative Sciences";"2024-2025";"Education (Q3); Law (Q3); Political Science and International Relations (Q3); Public Administration (Q4)";"Social Sciences"
21761;21100265344;"Membrane and Water Treatment";journal;"20058624, 20927037";"Techno-Press";No;No;0,203;Q3;24;29;71;1298;75;71;0,95;44,76;34,78;0;South Korea;Asiatic Region;"Techno-Press";"2010-2026";"Chemical Engineering (miscellaneous) (Q3); Water Science and Technology (Q4)";"Chemical Engineering; Environmental Science"
21762;6400153168;"OnLine Journal of Biological Sciences";journal;"16084217, 24108561";"Science Publications";Yes;No;0,203;Q3;23;75;213;3612;225;213;1,13;48,16;50,76;0;United States;Northern America;"Science Publications";"2007-2026";"Agricultural and Biological Sciences (miscellaneous) (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
21763;5600153356;"Perfiles Latinoamericanos";journal;"01887653";"Flacso Mexico";Yes;Yes;0,203;Q3;16;26;87;1195;42;87;0,48;45,96;35,90;0;Mexico;Latin America;"Flacso Mexico";"2008-2026";"Sociology and Political Science (Q3)";"Social Sciences"
21764;93516;"Polymer Science - Series C";journal;"1555614X, 18112382";"Pleiades Publishing";No;No;0,203;Q3;29;0;67;0;63;65;0,93;0,00;0,00;0;United States;Northern America;"Pleiades Publishing";"2000-2024, 2026";"Polymers and Plastics (Q3); Chemistry (miscellaneous) (Q4); Materials Chemistry (Q4)";"Chemistry; Materials Science"
21765;21100241779;"Proceedings of the Romanian Academy Series A - Mathematics Physics Technical Sciences Information Science";journal;"14549069";"Publishing House of the Romanian Academy";No;No;0,203;Q3;34;47;126;1074;75;123;0,49;22,85;30,77;0;Romania;Eastern Europe;"Publishing House of the Romanian Academy";"2008-2025";"Engineering (miscellaneous) (Q3); Computer Science (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)";"Computer Science; Engineering; Mathematics; Physics and Astronomy"
21766;19900191418;"Psychotherapy and Politics International";journal;"14769263, 15569195";"";No;No;0,203;Q3;11;37;69;1239;39;51;0,60;33,49;68,57;0;United Kingdom;Western Europe;"";"2013-2025";"Multidisciplinary (Q3)";"Multidisciplinary"
21767;21101260644;"Transactions on Fuzzy Sets and Systems";journal;"28210131";"Islamic Azad University";Yes;Yes;0,203;Q3;5;24;72;681;43;72;0,63;28,38;19,57;0;Iran;Middle East;"Islamic Azad University";"2022-2025";"Information Systems and Management (Q3); Applied Mathematics (Q4); Artificial Intelligence (Q4); Logic (Q4)";"Computer Science; Decision Sciences; Mathematics"
21768;110337;"Zhurnal Nevrologii i Psihiatrii imeni S.S. Korsakova";journal;"23094729, 19977298";"Media Sphera Publishing Group";No;No;0,203;Q3;26;351;1056;11680;756;1042;0,74;33,28;65,73;0;Russian Federation;Eastern Europe;"Media Sphera Publishing Group";"1952-2026";"History and Philosophy of Science (Q3); Clinical Psychology (Q4); Neurology (Q4); Neurology (clinical) (Q4); Psychiatry and Mental Health (Q4)";"Arts and Humanities; Medicine; Neuroscience; Psychology"
21769;21100894527;"Brazilian Business Review";journal;"18082386";"FUCAPE Business School";Yes;Yes;0,203;Q4;15;5;147;261;137;142;0,85;52,20;46,67;0;Brazil;Latin America;"FUCAPE Business School";"2017-2026";"Accounting (Q4); Business and International Management (Q4); Economics and Econometrics (Q4); Management of Technology and Innovation (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
21770;21101082424;"Chinese Journal of Academic Radiology";journal;"25208993, 25208985";"Springer";No;No;0,203;Q4;9;37;83;1237;59;83;0,76;33,43;36,76;0;Singapore;Asiatic Region;"Springer";"2019-2026";"Radiology, Nuclear Medicine and Imaging (Q4)";"Medicine"
21771;4400151606;"International Journal of Bioinformatics Research and Applications";journal;"17445485, 17445493";"Inderscience Publishers";No;No;0,203;Q4;21;30;80;1403;126;79;1,89;46,77;37,04;0;United Kingdom;Western Europe;"Inderscience Publishers";"2005-2025";"Biomedical Engineering (Q4); Clinical Biochemistry (Q4); Health Informatics (Q4); Health Information Management (Q4); Medicine (miscellaneous) (Q4)";"Biochemistry, Genetics and Molecular Biology; Engineering; Health Professions; Medicine"
21772;21101061447;"International Journal of Reconfigurable and Embedded Systems";journal;"20894864, 27222608";"Institute of Advanced Engineering and Science";No;No;0,203;Q4;11;57;165;1747;194;165;1,08;30,65;34,07;0;Indonesia;Asiatic Region;"Institute of Advanced Engineering and Science";"2019-2025";"Computer Science Applications (Q4); Electrical and Electronic Engineering (Q4); Hardware and Architecture (Q4); Logic (Q4)";"Computer Science; Engineering; Mathematics"
21773;21101034427;"Iranian Journal of Medical Microbiology";journal;"23454342, 17358612";"Farname Inc";Yes;Yes;0,203;Q4;11;11;200;462;170;196;0,81;42,00;63,64;0;Iran;Middle East;"Farname Inc";"2019-2025";"Infectious Diseases (Q4); Microbiology (Q4); Microbiology (medical) (Q4)";"Immunology and Microbiology; Medicine"
21774;21101105106;"Journal of Nonlinear Modeling and Analysis";journal;"25622854, 25622862";"Global Science Press";No;No;0,203;Q4;11;115;169;3713;90;169;0,55;32,29;30,40;0;China;Asiatic Region;"Global Science Press";"2019-2026";"Analysis (Q4); Applied Mathematics (Q4); Mathematics (miscellaneous) (Q4); Modeling and Simulation (Q4)";"Mathematics"
21775;23904;"Kardiologiya";journal;"24125660, 00229040";"Limited Liability Company KlinMed Consulting";No;No;0,203;Q4;26;114;384;2716;318;381;0,80;23,82;60,87;0;Russian Federation;Eastern Europe;"Limited Liability Company KlinMed Consulting";"1961-2026";"Cardiology and Cardiovascular Medicine (Q4)";"Medicine"
21776;11700154308;"Limnology and Oceanography Bulletin";journal;"1539607X, 15396088";"Wiley-Blackwell";No;No;0,203;Q4;18;49;142;178;65;39;0,48;3,63;64,81;0;United States;Northern America;"Wiley-Blackwell";"2001-2005, 2007-2026";"Aquatic Science (Q4); Oceanography (Q4); Water Science and Technology (Q4)";"Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science"
21777;21100887416;"Marketing, Zeitschrift fur Forschung und Praxis";journal;"03441369";"C.H.BECK";No;No;0,203;Q4;8;0;32;0;19;25;0,79;0,00;0,00;0;Germany;Western Europe;"C.H.BECK";"2018-2023";"Marketing (Q4); Social Psychology (Q4)";"Business, Management and Accounting; Psychology"
21778;31108;"Memoir of the Geological Society of America";book series;"00721069";"Geological Society of America";No;No;0,203;Q4;60;0;46;0;120;7;2,60;0,00;0,00;0;United States;Northern America;"Geological Society of America";"1934-1939, 1943, 1945-1958, 1960-1978, 1980-1990, 1992-1997, 1999, 2001-2002, 2004, 2006-2015, 2019-2024";"Geology (Q4)";"Earth and Planetary Sciences"
21779;19700186878;"Photonics Letters of Poland";journal;"20802242";"Photonics Society of Poland";Yes;No;0,203;Q4;20;31;85;397;70;85;0,93;12,81;31,07;0;Poland;Eastern Europe;"Photonics Society of Poland";"2009-2025";"Electronic, Optical and Magnetic Materials (Q4)";"Materials Science"
21780;21100774702;"Problems of Cryobiology and Cryomedicine";journal;"23076143";"National Academy of Sciences of Ukraine";Yes;No;0,203;Q4;8;17;74;549;22;64;0,24;32,29;60,00;0;Ukraine;Eastern Europe;"National Academy of Sciences of Ukraine";"2013-2025";"Biophysics (Q4); Medicine (miscellaneous) (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
21781;21100199747;"Proceedings of the IEEE Conference on Nanotechnology";conference and proceedings;"19449399, 19449380";"IEEE Computer Society";No;No;0,203;-;25;93;419;1897;278;412;0,75;20,40;25,82;0;United States;Northern America;"IEEE Computer Society";"2001-2003, 2011-2014, 2018-2025";"Bioengineering; Condensed Matter Physics; Electrical and Electronic Engineering; Materials Chemistry";"Chemical Engineering; Engineering; Materials Science; Physics and Astronomy"
21782;21100310005;"Proceedings of the International Conference on Cloud Computing Technology and Science, CloudCom";conference and proceedings;"23302194, 23302186";"IEEE Computer Society";No;No;0,203;-;36;0;115;0;85;102;0,73;0,00;0,00;0;United States;Northern America;"IEEE Computer Society";"2013-2020, 2022-2024";"Computational Theory and Mathematics; Computer Networks and Communications; Software; Theoretical Computer Science";"Computer Science; Mathematics"
21783;7100153141;"Novum Testamentum";journal;"00481009, 15685365";"Brill Academic Publishers";No;No;0,202;Q1;19;24;73;2168;10;72;0,13;90,33;9,09;0;Netherlands;Western Europe;"Brill Academic Publishers";"1958, 1960, 1962-1967, 1969-2003, 2005-2026";"Classics (Q1); Literature and Literary Theory (Q1); History (Q2); Linguistics and Language (Q2); Religious Studies (Q2)";"Arts and Humanities; Social Sciences"
21784;21101101859;"Research Journal in Advanced Humanities";journal;"27085953, 27085945";"Royallite Global";No;No;0,202;Q1;12;209;238;8666;305;238;1,36;41,46;41,02;0;Kenya;Africa;"Royallite Global";"2020-2026";"Literature and Literary Theory (Q1); Visual Arts and Performing Arts (Q1); Arts and Humanities (miscellaneous) (Q2); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences"
21785;5800155978;"Slavisticna Revija";journal;"03506894, 18557570";"Slavisticna Drustvo Slovenije";Yes;Yes;0,202;Q1;11;23;118;812;23;113;0,20;35,30;61,29;0;Slovenia;Eastern Europe;"Slavisticna Drustvo Slovenije";"2008-2025";"Literature and Literary Theory (Q1); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences"
21786;32921;"Arctic Anthropology";journal;"19338139, 00666939";"University of Wisconsin Press";No;No;0,202;Q2;33;7;18;602;11;16;0,61;86,00;42,86;0;United States;Northern America;"University of Wisconsin Press";"1980-1981, 1985, 1987, 1989-2021, 2023-2025";"Cultural Studies (Q2); Anthropology (Q3)";"Social Sciences"
21787;21100225852;"Current Swedish Archaeology";journal;"11027355";"Svenska Arkeologiska Samfundet";Yes;Yes;0,202;Q2;17;1;45;49;20;34;0,26;49,00;100,00;0;Sweden;Western Europe;"Svenska Arkeologiska Samfundet";"1996, 2001-2006, 2008, 2011-2019, 2021-2025";"Archeology (Q2); Archeology (arts and humanities) (Q2)";"Arts and Humanities; Social Sciences"
21788;21101233960;"Ethnologia Polona";journal;"27196976, 01374079";"Institute of Archaeology and Ethnology, Polish Academy of Sciences";Yes;Yes;0,202;Q2;4;10;29;521;20;27;0,32;52,10;45,45;0;Poland;Eastern Europe;"Institute of Archaeology and Ethnology, Polish Academy of Sciences";"2022-2025";"Arts and Humanities (miscellaneous) (Q2); Cultural Studies (Q2); Anthropology (Q3); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
21789;5700154126;"Filozofia";journal;"25857061, 0046385X";"Slovak Academy of Sciences";Yes;Yes;0,202;Q2;11;62;210;1573;51;200;0,26;25,37;23,64;0;Slovakia;Eastern Europe;"Slovak Academy of Sciences";"2002-2025";"Philosophy (Q2); Religious Studies (Q2)";"Arts and Humanities"
21790;15258;"Historicky Casopis";journal;"00182575, 25859099";"Slovak Academy of Sciences, Institute of History";Yes;Yes;0,202;Q2;7;41;135;2286;20;132;0,13;55,76;33,33;0;Slovakia;Eastern Europe;"Slovak Academy of Sciences, Institute of History";"1974, 1983, 1986, 1988, 2002-2025";"History (Q2)";"Arts and Humanities"
21791;21100316038;"Journal of Korean Religions";journal;"20937288, 21672040";"University of Hawaii Press";No;No;0,202;Q2;8;7;29;506;11;26;0,33;72,29;50,00;0;United States;Northern America;"University of Hawaii Press";"2010, 2013-2025";"Religious Studies (Q2)";"Arts and Humanities"
21792;21100285463;"Journal of Reformed Theology";journal;"15697312, 18725163";"Brill Academic Publishers";No;No;0,202;Q2;6;15;51;1484;14;45;0,16;98,93;12,50;0;Netherlands;Western Europe;"Brill Academic Publishers";"2013-2025";"Religious Studies (Q2)";"Arts and Humanities"
21793;14000155248;"Journal of the American Musicological Society";journal;"00030139, 15473848";"University of California Press";No;No;0,202;Q2;31;12;62;1151;26;62;0,40;95,92;53,33;0;United States;Northern America;"University of California Press";"1970-2025";"Music (Q2)";"Arts and Humanities"
21794;21100275427;"Ler Historia";journal;"08706182";"ISCTE";Yes;Yes;0,202;Q2;9;23;70;932;34;63;0,43;40,52;20,69;0;Portugal;Western Europe;"ISCTE";"2011-2025";"History (Q2)";"Arts and Humanities"
21795;21100897732;"Perseitas";journal;"23461780";"Universidad Catolica Luis Amigo";Yes;Yes;0,202;Q2;4;25;58;1120;13;53;0,18;44,80;22,50;0;Colombia;Latin America;"Universidad Catolica Luis Amigo";"2018-2025";"Arts and Humanities (miscellaneous) (Q2)";"Arts and Humanities"
21796;5700167641;"Phainomena";journal;"13183362";"Zalozba Nova Revija";Yes;Yes;0,202;Q2;4;27;99;640;26;91;0,32;23,70;28,57;0;Slovenia;Eastern Europe;"Zalozba Nova Revija";"2009-2013, 2015-2025";"Philosophy (Q2)";"Arts and Humanities"
21797;29598;"Religious Education";journal;"15473201, 00344087";"Routledge";No;No;0,202;Q2;23;39;125;1440;59;95;0,48;36,92;45,31;0;United Kingdom;Western Europe;"Routledge";"1906-2026";"Religious Studies (Q2); Education (Q4)";"Arts and Humanities; Social Sciences"
21798;21101149043;"Studies in Linguistics, Culture and FLT";journal;"25349538, 2534952X";"Konstantin Preslavsky University of Shumen";Yes;Yes;0,202;Q2;4;19;77;796;51;73;0,74;41,89;55,17;0;Bulgaria;Eastern Europe;"Konstantin Preslavsky University of Shumen";"2022-2025";"Cultural Studies (Q2)";"Social Sciences"
21799;21101021435;"Tokovi Istorije";journal;"2560547X, 03546497";"Institute for Recent History of Serbia";Yes;Yes;0,202;Q2;3;38;112;1550;13;110;0,12;40,79;14,63;0;Serbia;Eastern Europe;"Institute for Recent History of Serbia";"2019-2025";"History (Q2)";"Arts and Humanities"
21800;5800207758;"Virittaja";journal;"00426806";"University of Helsinki";No;No;0,202;Q2;10;35;128;1160;31;114;0,28;33,14;81,08;0;Finland;Western Europe;"University of Helsinki";"2011, 2013-2025";"Linguistics and Language (Q2)";"Social Sciences"
21801;21101061445;"Acta Universitatis Carolinae Iuridica";journal;"03230619, 23366478";"Karolinum - Nakladatelstvi Univerzity Karlovy";Yes;Yes;0,202;Q3;4;62;167;3619;56;161;0,40;58,37;46,75;0;Czech Republic;Eastern Europe;"Karolinum - Nakladatelstvi Univerzity Karlovy";"2019-2025";"Law (Q3)";"Social Sciences"
21802;5700164001;"Athenea Digital";journal;"15788946, 20144539";"Universitat Autonoma de Barcelona";Yes;Yes;0,202;Q3;19;47;99;1904;46;99;0,39;40,51;51,25;0;Spain;Western Europe;"Universitat Autonoma de Barcelona";"2007-2026";"Social Sciences (miscellaneous) (Q3)";"Social Sciences"
21803;21101128451;"Avicenna Journal of Nursing and Midwifery Care";journal;"26765748";"Hamadan University of Medical Sciences";Yes;Yes;0,202;Q3;9;32;96;1095;63;96;0,77;34,22;65,22;0;Iran;Middle East;"Hamadan University of Medical Sciences";"2019-2025";"Advanced and Specialized Nursing (Q3); Maternity and Midwifery (Q3); Education (Q4); Gerontology (Q4); Issues, Ethics and Legal Aspects (Q4); Leadership and Management (Q4); Pediatrics (Q4); Psychiatry and Mental Health (Q4)";"Medicine; Nursing; Social Sciences"
21804;13606;"Biology Bulletin";journal;"16083059, 10623590";"";No;No;0,202;Q3;29;374;1113;17074;711;1103;0,63;45,65;50,28;0;Russian Federation;Eastern Europe;"";"1996-2025";"Agricultural and Biological Sciences (miscellaneous) (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
21805;7400153104;"Brazilian Journal of Oral Sciences";journal;"16773225, 16773217";"Piracicaba Dental School - UNICAMP";Yes;Yes;0,202;Q3;16;71;190;2357;95;188;0,43;33,20;57,10;0;Brazil;Latin America;"Piracicaba Dental School - UNICAMP";"2007-2026";"Dentistry (miscellaneous) (Q3)";"Dentistry"
21806;21101343518;"Communications in Optimization Theory";journal;"20512953";"Mathematical Research Press";No;No;0,202;Q3;4;50;108;1349;39;108;0,35;26,98;22,92;0;United Kingdom;Western Europe;"Mathematical Research Press";"2022-2026";"Control and Optimization (Q3); Modeling and Simulation (Q4); Numerical Analysis (Q4)";"Mathematics"
21807;21101022219;"Disaster and Emergency Medicine Journal";journal;"25435957, 24514691";"Via Medica";No;No;0,202;Q3;11;30;113;746;48;80;0,28;24,87;28,57;0;Poland;Eastern Europe;"Via Medica";"2019-2025";"Critical Care and Intensive Care Medicine (Q3); Emergency Medical Services (Q3); Emergency Medicine (Q3)";"Health Professions; Medicine"
21808;21100675628;"Geographical Sciences";journal;"02864886, 2432096X";"Japanese Society for Geographical Sciences";No;No;0,202;Q3;4;12;36;225;10;31;0,48;18,75;18,18;0;Japan;Asiatic Region;"Japanese Society for Geographical Sciences";"1982, 2019-2025";"Geography, Planning and Development (Q3); Earth and Planetary Sciences (miscellaneous) (Q4)";"Earth and Planetary Sciences; Social Sciences"
21809;21100822732;"International Journal of Applied Science and Engineering";journal;"17277841, 17272394";"Chaoyang University of Technology";Yes;No;0,202;Q3;16;19;117;682;140;117;1,15;35,89;36,84;0;Taiwan;Asiatic Region;"Chaoyang University of Technology";"2013, 2016-2026";"Agricultural and Biological Sciences (miscellaneous) (Q3); Control and Optimization (Q3); Chemical Engineering (miscellaneous) (Q4); Engineering (miscellaneous) (Q4); Numerical Analysis (Q4)";"Agricultural and Biological Sciences; Chemical Engineering; Engineering; Mathematics"
21810;21100301442;"International Journal of Electronic Governance";journal;"17427517, 17427509";"Inderscience";No;No;0,202;Q3;24;16;63;937;48;61;0,91;58,56;17,50;0;Switzerland;Western Europe;"Inderscience";"2007-2025";"Sociology and Political Science (Q3); Computer Science Applications (Q4); Public Administration (Q4)";"Computer Science; Social Sciences"
21811;21101267123;"International Journal of Social Imaginaries";journal;"27727858, 27727866";"Brill Academic Publishers";No;No;0,202;Q3;4;19;44;465;25;38;0,57;24,47;18,75;0;Netherlands;Western Europe;"Brill Academic Publishers";"2022-2026";"Social Sciences (miscellaneous) (Q3)";"Social Sciences"
21812;25885;"Issues and Studies";journal;"2529802X, 10132511";"World Scientific Publishing Co. Pte Ltd";No;No;0,202;Q3;24;16;53;1107;40;51;0,53;69,19;13,64;0;Taiwan;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1972-1975, 1978, 1980, 1985, 1995-2026";"Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Social Sciences"
21813;21100928216;"Journal of Research in Pharmacy";journal;"26306344";"Marmara University";No;No;0,202;Q3;26;232;645;9635;599;639;0,81;41,53;52,54;0;Turkey;Middle East;"Marmara University";"2019-2026";"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q3); Pharmacology (medical) (Q4)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
21814;21101039254;"Journal of Ultrafine Grained and Nanostructured Materials";journal;"24236837, 24236845";"University of Tehran";Yes;Yes;0,202;Q3;10;24;77;1092;88;77;1,35;45,50;27,42;0;Iran;Middle East;"University of Tehran";"2019-2025";"Metals and Alloys (Q3); Polymers and Plastics (Q3); Biomaterials (Q4); Ceramics and Composites (Q4)";"Materials Science"
21815;5600153163;"New Zealand Sociology";journal;"0112921X, 11731036";"New Zealand Sociology";No;No;0,202;Q3;14;17;44;1010;25;41;0,52;59,41;52,17;0;New Zealand;Pacific Region;"New Zealand Sociology";"2010-2025";"Social Sciences (miscellaneous) (Q3)";"Social Sciences"
21816;21101152593;"Novos Estudos Juridicos";journal;"21750491";"UNIVALI";No;No;0,202;Q3;2;21;100;797;16;100;0,13;37,95;44,83;0;Brazil;Latin America;"UNIVALI";"2022-2025";"Law (Q3); Management, Monitoring, Policy and Law (Q4)";"Environmental Science; Social Sciences"
21817;17600155129;"Resonance";journal;"09718044, 0973712X";"Springer India";No;No;0,202;Q3;27;162;471;1300;149;345;0,29;8,02;24,81;0;India;Asiatic Region;"Springer India";"1996, 2000, 2002, 2006-2025";"Multidisciplinary (Q3); Education (Q4)";"Multidisciplinary; Social Sciences"
21818;21101042011;"Revista Catalana de Dret Ambiental";journal;"2014038X";"Universitat Rovira i Virgili";Yes;Yes;0,202;Q3;7;109;322;1954;50;281;0,10;17,93;53,70;1;Spain;Western Europe;"Universitat Rovira i Virgili";"2019-2025";"Law (Q3); Ecology (Q4); Environmental Science (miscellaneous) (Q4); Management, Monitoring, Policy and Law (Q4)";"Environmental Science; Social Sciences"
21819;21100824861;"Revista Colombiana de Reumatologia";journal;"01218123, 20279000";"Asociacion Colombiana de Reumatologia";Yes;No;0,202;Q3;13;83;238;2216;112;213;0,49;26,70;53,65;0;Colombia;Latin America;"Asociacion Colombiana de Reumatologia";"2009-2026";"Internal Medicine (Q3); Pharmaceutical Science (Q3); Rehabilitation (Q3); Immunology and Allergy (Q4); Rheumatology (Q4)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
21820;21101045754;"Southern African Journal of Social Work and Social Development";journal;"27089355, 25200097";"Unisa Press";No;No;0,202;Q3;9;28;93;1370;55;93;0,53;48,93;71,93;0;South Africa;Africa;"Unisa Press";"2017-2025";"Sociology and Political Science (Q3); Development (Q4); Health (social science) (Q4)";"Social Sciences"
21821;86017;"Sumarski List";journal;"03731332";"Hrvatsko Sumarsko Drustvo";Yes;No;0,202;Q3;20;44;139;1727;63;115;0,44;39,25;38,52;0;Croatia;Eastern Europe;"Hrvatsko Sumarsko Drustvo";"1980, 1982-1983, 1985, 2006-2026";"Forestry (Q3)";"Agricultural and Biological Sciences"
21822;17700156005;"WSEAS Transactions on Heat and Mass Transfer";journal;"17905044, 22243461";"World Scientific and Engineering Academy and Society";No;No;0,202;Q3;12;10;70;296;32;70;0,50;29,60;32,35;0;Greece;Western Europe;"World Scientific and Engineering Academy and Society";"2009-2015, 2022-2025";"Industrial and Manufacturing Engineering (Q3); Condensed Matter Physics (Q4); Energy (miscellaneous) (Q4); Mechanical Engineering (Q4)";"Energy; Engineering; Physics and Astronomy"
21823;19700186738;"Ad-Hoc and Sensor Wireless Networks";journal;"15519899, 15520633";"Old City Publishing";No;No;0,202;Q4;27;26;114;1062;134;114;0,94;40,85;28,79;0;United States;Northern America;"Old City Publishing";"2005-2025";"Computer Science (miscellaneous) (Q4); Electrical and Electronic Engineering (Q4); Instrumentation (Q4)";"Computer Science; Engineering; Physics and Astronomy"
21824;19296;"American Midland Naturalist";journal;"00030031";"University of Notre Dame";No;No;0,202;Q4;60;0;37;0;23;37;0,00;0,00;0,00;0;United States;Northern America;"University of Notre Dame";"1979-1980, 1982-1990, 1993-2022";"Ecology, Evolution, Behavior and Systematics (Q4)";"Agricultural and Biological Sciences"
21825;19700173016;"Bulletin of the Lebedev Physics Institute";journal;"10683356, 1934838X";"Pleiades Publishing";No;No;0,202;Q4;17;232;583;5345;321;582;0,57;23,04;23,84;0;United States;Northern America;"Pleiades Publishing";"2007, 2009-2025";"Physics and Astronomy (miscellaneous) (Q4)";"Physics and Astronomy"
21826;21100853795;"Cailiao Daobao/Materials Reports";journal;"1005023X";"Cailiao Daobaoshe/ Materials Review";No;No;0,202;Q4;26;627;2432;31327;1904;2432;0,81;49,96;33,75;0;China;Asiatic Region;"Cailiao Daobaoshe/ Materials Review";"2016-2025";"Materials Science (miscellaneous) (Q4)";"Materials Science"
21827;29305;"Clinical and Investigative Medicine";journal;"14882353, 0147958X";"The Canadian Society for Clinical Investigation";No;No;0,202;Q4;55;20;54;329;32;51;0,57;16,45;44,62;0;Canada;Northern America;"The Canadian Society for Clinical Investigation";"1978-2025";"Medicine (miscellaneous) (Q4)";"Medicine"
21828;5700171852;"Curriculum and Teaching";journal;"0726416X, 22010602";"James Nicholas Publishers, Pty. Ltd";No;No;0,202;Q4;9;14;37;426;25;33;0,56;30,43;51,85;0;Australia;Pacific Region;"James Nicholas Publishers, Pty. Ltd";"2014-2025";"Education (Q4)";"Social Sciences"
21829;21100201720;"Education Therapeutique du Patient";journal;"21000816, 21000808";"EDP Sciences";No;No;0,202;Q4;13;13;45;419;16;43;0,24;32,23;50,00;0;France;Western Europe;"EDP Sciences";"2009-2025";"Education (Q4); Public Health, Environmental and Occupational Health (Q4)";"Medicine; Social Sciences"
